Base.Device Id,Base.Adjusted Dt,Base.Lat,Base.Long,normalized_timestamp
SYDNEY-WAGGA WAGGA,03-01-1984 00:00,-33.868,151.21,0
SYDNEY-WAGGA WAGGA,03-01-1984 01:00,-35.115,147.3678,0.04
ADELAIDE-ALICE SPRINGS,04-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-ALICE SPRINGS,04-01-1984 01:00,-23.6984,133.8813,0.04
ADELAIDE-BRISBANE,04-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-BRISBANE,04-01-1984 01:00,-27.469,153.0235,0.04
ADELAIDE-CANBERRA,04-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-CANBERRA,04-01-1984 01:00,-35.2819,149.1289,0.04
ADELAIDE-DARWIN,04-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-DARWIN,04-01-1984 01:00,-12.461,130.841,0.04
ADELAIDE-GOLD COAST,04-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-GOLD COAST,04-01-1984 01:00,-28.0001,153.431,0.04
ADELAIDE-MELBOURNE,04-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-MELBOURNE,04-01-1984 01:00,-37.8142,144.9632,0.04
ADELAIDE-PERTH,04-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-PERTH,04-01-1984 01:00,-31.9527,115.8605,0.04
ADELAIDE-SYDNEY,04-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
ALBURY-SYDNEY,04-01-1984 00:00,-36.0805,146.9163,0
ALBURY-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
ALICE SPRINGS-DARWIN,04-01-1984 00:00,-23.6984,133.8813,0
ALICE SPRINGS-DARWIN,04-01-1984 01:00,-12.461,130.841,0.04
ALICE SPRINGS-SYDNEY,04-01-1984 00:00,-23.6984,133.8813,0
ALICE SPRINGS-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
BRISBANE-CAIRNS,04-01-1984 00:00,-27.469,153.0235,0
BRISBANE-CAIRNS,04-01-1984 01:00,-16.9205,145.7719,0.04
BRISBANE-CANBERRA,04-01-1984 00:00,-27.469,153.0235,0
BRISBANE-CANBERRA,04-01-1984 01:00,-35.2819,149.1289,0.04
BRISBANE-DARWIN,04-01-1984 00:00,-27.469,153.0235,0
BRISBANE-DARWIN,04-01-1984 01:00,-12.461,130.841,0.04
BRISBANE-MACKAY,04-01-1984 00:00,-27.469,153.0235,0
BRISBANE-MACKAY,04-01-1984 01:00,-21.142,149.1865,0.04
BRISBANE-MELBOURNE,04-01-1984 00:00,-27.469,153.0235,0
BRISBANE-MELBOURNE,04-01-1984 01:00,-37.8142,144.9632,0.04
BRISBANE-PERTH,04-01-1984 00:00,-27.469,153.0235,0
BRISBANE-PERTH,04-01-1984 01:00,-31.9527,115.8605,0.04
BRISBANE-PROSERPINE,04-01-1984 00:00,-27.469,153.0235,0
BRISBANE-PROSERPINE,04-01-1984 01:00,-20.4015,148.5816,0.04
BRISBANE-ROCKHAMPTON,04-01-1984 00:00,-27.469,153.0235,0
BRISBANE-ROCKHAMPTON,04-01-1984 01:00,-23.3783,150.5134,0.04
BRISBANE-SYDNEY,04-01-1984 00:00,-27.469,153.0235,0
BRISBANE-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
BRISBANE-TOWNSVILLE,04-01-1984 00:00,-27.469,153.0235,0
BRISBANE-TOWNSVILLE,04-01-1984 01:00,-19.25,146.8,0.04
BROOME-PERTH,04-01-1984 00:00,-17.9567,122.224,0
BROOME-PERTH,04-01-1984 01:00,-31.9527,115.8605,0.04
CAIRNS-SYDNEY,04-01-1984 00:00,-16.9205,145.7719,0
CAIRNS-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
CANBERRA-MELBOURNE,04-01-1984 00:00,-35.2819,149.1289,0
CANBERRA-MELBOURNE,04-01-1984 01:00,-37.8142,144.9632,0.04
CANBERRA-SYDNEY,04-01-1984 00:00,-35.2819,149.1289,0
CANBERRA-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
COFFS HARBOUR-SYDNEY,04-01-1984 00:00,-30.2962,153.1135,0
COFFS HARBOUR-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
DARWIN-SYDNEY,04-01-1984 00:00,-12.461,130.841,0
DARWIN-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
DEVONPORT-MELBOURNE,04-01-1984 00:00,-41.1798,146.3613,0
DEVONPORT-MELBOURNE,04-01-1984 01:00,-37.8142,144.9632,0.04
DUBBO-SYDNEY,04-01-1984 00:00,-32.2479,148.6027,0
DUBBO-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
GOLD COAST-SYDNEY,04-01-1984 00:00,-28.0001,153.431,0
GOLD COAST-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
HOBART-MELBOURNE,04-01-1984 00:00,-42.8825,147.3281,0
HOBART-MELBOURNE,04-01-1984 01:00,-37.8142,144.9632,0.04
KALGOORLIE-PERTH,04-01-1984 00:00,-30.7532,121.4694,0
KALGOORLIE-PERTH,04-01-1984 01:00,-31.9527,115.8605,0.04
KARRATHA-PERTH,04-01-1984 00:00,-20.737,116.8479,0
KARRATHA-PERTH,04-01-1984 01:00,-31.9527,115.8605,0.04
LAUNCESTON-MELBOURNE,04-01-1984 00:00,-41.4341,147.1373,0
LAUNCESTON-MELBOURNE,04-01-1984 01:00,-37.8142,144.9632,0.04
MELBOURNE-BURNIE,04-01-1984 00:00,-37.8142,144.9632,0
MELBOURNE-BURNIE,04-01-1984 01:00,-41.0558,145.9037,0.04
MELBOURNE-GOLD COAST,04-01-1984 00:00,-37.8142,144.9632,0
MELBOURNE-GOLD COAST,04-01-1984 01:00,-28.0001,153.431,0.04
MELBOURNE-MILDURA,04-01-1984 00:00,-37.8142,144.9632,0
MELBOURNE-MILDURA,04-01-1984 01:00,-34.206841,142.13649,0.04
MELBOURNE-PERTH,04-01-1984 00:00,-37.8142,144.9632,0
MELBOURNE-PERTH,04-01-1984 01:00,-31.9527,115.8605,0.04
MELBOURNE-SYDNEY,04-01-1984 00:00,-37.8142,144.9632,0
MELBOURNE-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
